Name,Symbol,AtomicNumber,AtomicWeight,Group,ElectronConfig,Applications
Samarium,Sm,62,150.36,Lanthanides,[Xe] 4f⁶ 6s²,Combined with cobalt to create robust magnets that resist demagnetization at incredibly high operating temperatures
Europium,Eu,63,151.96,Lanthanides,[Xe] 4f⁷ 6s²,Serves as a vital red and blue phosphor agent inside modern TV monitors and used as an anti-counterfeit dye in bank notes
Gadolinium,Gd,64,157.25,Lanthanides,[Xe] 4f⁷ 5d¹ 6s²,Injected intravenously as an essential intravenous contrast medium to enhance diagnostic MRI scans
Terbium,Tb,65,158.93,Lanthanides,[Xe] 4f⁹ 6s²,Used as an efficient green phosphor inside fluorescent tube lights and integrated into magnetostrictive sonar systems
Dysprosium,Dy,66,162.5,Lanthanides,[Xe] 4f¹⁰ 6s²,Added into neodymium permanent motor magnets to maintain high magnetic integrity at extreme running temperatures
Holmium,Ho,67,164.93,Lanthanides,[Xe] 4f¹¹ 6s²,Possesses the highest magnetic strength of any element; used to concentrate flux fields inside industrial pole pieces
Erbium,Er,68,167.26,Lanthanides,[Xe] 4f¹² 6s²,Used as a crucial signal laser amplifier inside fiber optic transoceanic telecommunications data cables
Thulium,Tm,69,168.93,Lanthanides,[Xe] 4f¹³ 6s²,Utilized as a portable radioactive X-ray emission source for remote field medical operations and dental checks
Ytterbium,Yb,70,173.05,Lanthanides,[Xe] 4f¹⁴ 6s²,Used to construct ultra-precise atomic clocks and alloyed into stainless steel to refine overall structural grain consistency
Lutetium,Lu,71,174.97,Lanthanides,[Xe] 4f¹⁴ 5d¹ 6s²,Its high-density silicate compound is an essential component inside advanced Positron Emission Tomography (PET) scanners
Hafnium,Hf,72,178.49,Transition metals,[Xe] 4f¹⁴ 5d² 6s²,Excellent neutron absorber utilized to build high-durability control rods inside nuclear submarine reactors
Tantalum,Ta,73,180.95,Transition metals,[Xe] 4f¹⁴ 5d³ 6s²,Highly resistant to corrosion; used to engineer miniaturized capacitors for smartphones and electronic circuit boards
Tungsten,W,74,183.84,Transition metals,[Xe] 4f¹⁴ 5d⁴ 6s²,Boasts the highest melting point of any metal; used for lightbulb filaments armor-piercing shells and TIG welding tips
Rhenium,Re,75,186.21,Transition metals,[Xe] 4f¹⁴ 5d⁵ 6s²,Alloyed into nickel-based superalloys to construct single-crystal combustion blades for commercial jet engines
Osmium,Os,76,190.23,Transition metals,[Xe] 4f¹⁴ 5d⁶ 6s²,The densest natural element; alloyed into heavy-duty electrical contacts fountain pen tips and record player needles
Iridium,Ir,77,192.22,Transition metals,[Xe] 4f¹⁴ 5d⁷ 6s²,Incredibly corrosion resistant; used to manufacture heavy spark plugs for aircraft and deep crucibles for laser crystals
Platinum,Pt,78,195.08,Transition metals,[Xe] 4f¹⁴ 5d⁹ 6s¹,Extensively utilized as a highly active catalyst inside automotive emission converters and in cancer treatment medications
Gold,Au,79,196.97,Transition metals,[Xe] 4f¹⁴ 5d¹⁰ 6s¹,Highly unreactive and malleable; used globally as a reliable financial currency backing for jewelry and electrical contacts
Mercury,Hg,80,200.59,Transition metals,[Xe] 4f¹⁴ 5d¹⁰ 6s²,The only liquid metal at room temperature; historically utilized inside physical thermometers barometers and silent tilt switches
Thallium,Tl,81,204.38,Post-transition metals,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p¹,Historically mixed into deadly rodent poisons; today used inside specialty infrared optical lenses and medical heart scans
Lead,Pb,82,207.2,Post-transition metals,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p²,Extensively used to manufacture heavy-duty automotive batteries and layered as heavy radiation safety shields in X-ray rooms
Bismuth,Bi,83,208.98,Post-transition metals,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p³,The active soothing component in pink Pepto-Bismol medicine and used as an eco-friendly lead replacement in plumbing solder
Polonium,Po,84,209,Metalloids,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁴,Intensely radioactive alpha emitter; historically utilized to eliminate static electricity buildup on industrial photographic brushes
Astatine,At,85,210,Halogens,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁵,The rarest naturally occurring element on earth; actively being evaluated for highly targeted alpha-particle tumor therapies
Radon,Rn,86,222,Noble gases,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁶,Naturally radioactive gas monitored globally for basements and historically used to track outdoor air masses
Francium,Fr,87,223,Alkali metals,[Rn] 7s¹,Highly unstable alkali metal with an extremely brief lifespan; utilized solely for basic laboratory research on nuclear structures
Radium,Ra,88,226,Alkaline earth metals,[Rn] 7s²,Discovered by Marie Curie; historically used for glow-in-the-dark watch paint and early cancer radiation treatments
Actinium,Ac,89,227,Actinides,[Rn] 6d¹ 7s²,Strong radioactive glow source explored as a powerful candidate for targeted alpha immunotherapy cancer treatments
Thorium,Th,90,232.04,Actinides,[Rn] 6d² 7s²,Investigated globally as a significantly safer and cleaner alternative fuel source for building nuclear power reactors
Protactinium,Pa,91,231.04,Actinides,[Rn] 5f² 6d¹ 7s²,Highly toxic and rare radioactive metal; used exclusively for analyzing structural models in nuclear geological dating
Uranium,U,92,238.03,Actinides,[Rn] 5f³ 6d¹ 7s²,Fissionable isotope U-235 is the primary energy fuel source utilized inside global nuclear power plants and submarines
Neptunium,Np,93,237,Actinides,[Rn] 5f⁴ 6d¹ 7s²,Synthesized byproduct generated inside commercial reactors; utilized to construct advanced neutron detection instruments
Plutonium,Pu,94,244,Actinides,[Rn] 5f⁶ 7s²,Its isotope Pu-238 generates heat used in thermoelectric generators to power deep-space probes like Voyager and Mars rovers
Americium,Am,95,243,Actinides,[Rn] 5f⁷ 7s²,Emits localized alpha radiation utilized inside residential ionization smoke detectors to identify active indoor fires
Curium,Cm,96,247,Actinides,[Rn] 5f⁷ 6d¹ 7s²,Alpha particle emitter used on space missions as the dedicated particle source for Alpha Particle X-ray Spectrometers
Berkelium,Bk,97,247,Actinides,[Rn] 5f⁹ 7s²,A rare synthetic transuranic element utilized strictly as a foundational target isotope to synthesize heavier superheavy elements
Californium,Cf,98,251,Actinides,[Rn] 5f¹⁰ 7s²,Potent neutron emitter used to safely initiate nuclear start-up reactors and to detect moisture levels in soil profiles
Einsteinium,Es,99,252,Actinides,[Rn] 5f¹¹ 7s²,Named in honor of Albert Einstein; produced in tiny quantities solely to analyze chemical properties of heavy actinide groups
Fermium,Fm,100,257,Actinides,[Rn] 5f¹² 7s²,Formed via heavy neutron bombardment of lighter elements; restricted entirely to academic laboratory studies on atomic structures
Mendelevium,Md,101,258,Actinides,[Rn] 5f¹³ 7s²,Named after Dmitri Mendeleev; synthesized in particle colliders purely to track structural nuclear alpha decay paths
Nobelium,No,102,259,Actinides,[Rn] 5f¹⁴ 7s²,Named after Alfred Nobel; synthetic radioactive metal generated in ion beams solely for nuclear verification physics
Lawrencium,Lr,103,266,Actinides,[Rn] 5f¹⁴ 7s² 7p¹,Discovered at Berkeley Laboratory; used solely to investigate relativistic effects on chemical properties of actinide lines
Rutherfordium,Rf,104,267,Transition metals,[Rn] 5f¹⁴ 6d² 7s²,Superheavy synthetic transactinide element with an extremely short lifespan; restricted entirely to heavy ion physics research
Dubnium,Db,105,268,Transition metals,[Rn] 5f¹⁴ 6d³ 7s²,Artificially generated element named after Dubnia Russia; used exclusively for academic confirmation of transactinide patterns
Seaborgium,Sg,106,269,Transition metals,[Rn] 5f¹⁴ 6d⁴ 7s²,Synthesized via nuclear fusion bombardment; evaluated strictly to observe decay dynamics in heavy atoms
Bohrium,Bh,107,270,Transition metals,[Rn] 5f¹⁴ 6d⁵ 7s²,Named after physicist Niels Bohr; created artificially to measure the chemical behaviors of highly unstable transition groups
Hassium,Hs,108,269,Transition metals,[Rn] 5f¹⁴ 6d⁶ 7s²,Superheavy synthetic element with a highly brief half-life; evaluated solely for chemical mapping of Group 8 properties
Meitnerium,Mt,109,278,Transition metals,[Rn] 5f¹⁴ 6d⁷ 7s²,Named after physicist Lise Meitner; generated in minute amounts via heavy particle beams purely for atomic research
Darmstadtium,Ds,110,281,Transition metals,[Rn] 5f¹⁴ 6d⁸ 7s²,Synthesized in Darmstadt Germany; used strictly to test theoretical nuclear shell stability models in physics
Roentgenium,Rg,111,282,Transition metals,[Rn] 5f¹⁴ 6d⁹ 7s²,Superheavy synthetic element with a half-life of mere seconds; evaluated solely for theoretical physics mapping
Copernium,Cn,112,285,Transition metals,[Rn] 5f¹⁴ 6d¹⁰ 7s²,Created via advanced heavy-ion fusion; utilized solely to confirm relativistic effects on outermost electrons
Nihonium,Nh,113,286,Post-transition metals,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p¹,Synthesized and discovered in Japan; serves purely as a milestone marker in exploring superheavy atoms
Flerovium,Fl,114,289,Post-transition metals,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p²,Created to study structural nuclear stability near the hypothetical island of stability in physics
Moscovium,Mc,115,290,Post-transition metals,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p³,Artificially generated element with a brief lifespan; restricted entirely to heavy element verification science
Livermorium,Lv,116,293,Post-transition metals,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁴,Produced by colliding calcium ions into curium targets; evaluated strictly for heavy decay chain tracing
Tennessine,Ts,117,294,Halogens,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁵,A superheavy synthetic halogen discovered via joint Russian-American collaboration; restricted to basic nuclear research
Oganesson,Og,118,294,Noble gases,[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁶,The heaviest known element in existence; generated in extreme conditions purely to explore the upper limits of the periodic table
